"file","import_line"
"apps/web/src/app/(detail)/layout.tsx","import type { ReactNode } from 'react'"
"apps/web/src/app/(detail)/layout.tsx","import { DetailShell } from '@/app/_shells/DetailShell'"
"apps/web/src/app/(detail)/movie/[id]/error.tsx","import { useEffect } from 'react'"
"apps/web/src/app/(detail)/movie/[id]/error.tsx","import styles from './error.module.css'"
"apps/web/src/app/(detail)/movie/[id]/loading.tsx","import styles from './loading.module.css'"
"apps/web/src/app/(detail)/movie/[id]/page.tsx","import type { Metadata } from 'next'"
"apps/web/src/app/(detail)/movie/[id]/page.tsx","import { notFound, redirect } from 'next/navigation'"
"apps/web/src/app/(detail)/movie/[id]/page.tsx","import { type CSSProperties, Suspense } from 'react'"
"apps/web/src/app/(detail)/movie/[id]/page.tsx","import { HeroLcpPreloadLinks } from '@/components/MovieDetailPage/HeroLcpPreloadLinks'"
"apps/web/src/app/(detail)/movie/[id]/page.tsx","import { MovieDetailBelowFoldSuspenseFallback } from '@/components/MovieDetailPage/MovieDetailBelowFoldDynamics'"
"apps/web/src/app/(detail)/movie/[id]/page.tsx","import { MovieDetailPage } from '@/components/MovieDetailPage/MovieDetailPage'"
"apps/web/src/app/(detail)/movie/[id]/page.tsx","import { MovieDetailStreamedBelowFold } from '@/components/MovieDetailPage/MovieDetailStreamedBelowFold'"
"apps/web/src/app/(detail)/movie/[id]/page.tsx","import { jsonLdMainEntityId, jsonLdSameAsTmdb, jsonLdYoutubeVideoId } from '@/lib/jsonLdEntity'"
"apps/web/src/app/(detail)/movie/[id]/page.tsx","import { getMoviePageDataShellCached } from '@/lib/moviePageDataCache'"
"apps/web/src/app/(detail)/movie/[id]/page.tsx","import { discoverPageAlternates, discoverSocialMeta } from '@/lib/seoSocial'"
"apps/web/src/app/(detail)/movie/[id]/page.tsx","import { buildWatchSeoTitle } from '@/lib/seoTitles'"
"apps/web/src/app/(detail)/movie/[id]/page.tsx","import { SITE_URL } from '@/lib/site'"
"apps/web/src/app/(detail)/movie/[id]/page.tsx","import { moviePath, resolveMovieIdFromParam } from '@/lib/slug'"
"apps/web/src/app/(detail)/movie/[id]/page.tsx","import { containsCyrillic } from '@/lib/textScript'"
"apps/web/src/app/(detail)/movie/[id]/page.tsx","import type { MoviePageDetail } from '@/lib/tmdb'"
"apps/web/src/app/(detail)/movie/[id]/page.tsx","import { getImageUrl, getTopMovieIdsForStaticParams } from '@/lib/tmdb'"
"apps/web/src/app/(detail)/movie/[id]/page.tsx","import styles from './page.module.css'"
"apps/web/src/app/(site)/about/page.tsx","import type { Metadata } from 'next'"
"apps/web/src/app/(site)/about/page.tsx","import Link from 'next/link'"
"apps/web/src/app/(site)/about/page.tsx","import { LegalDocument, LegalNote } from '@/components/LegalDocument/LegalDocument'"
"apps/web/src/app/(site)/about/page.tsx","import { WebPageJsonLd } from '@/components/WebPageJsonLd/WebPageJsonLd'"
"apps/web/src/app/(site)/about/page.tsx","import { buildAboutOrganizationStructuredData } from '@/lib/jsonLdSite'"
"apps/web/src/app/(site)/about/page.tsx","import { discoverPageAlternates, discoverSocialMeta } from '@/lib/seoSocial'"
"apps/web/src/app/(site)/about/page.tsx","import styles from './page.module.css'"
"apps/web/src/app/(site)/accessibility/page.tsx","import type { Metadata } from 'next'"
"apps/web/src/app/(site)/accessibility/page.tsx","import Link from 'next/link'"
"apps/web/src/app/(site)/accessibility/page.tsx","import { LegalDocument, LegalNote } from '@/components/LegalDocument/LegalDocument'"
"apps/web/src/app/(site)/accessibility/page.tsx","import { WebPageJsonLd } from '@/components/WebPageJsonLd/WebPageJsonLd'"
"apps/web/src/app/(site)/accessibility/page.tsx","import { discoverPageAlternates, discoverSocialMeta } from '@/lib/seoSocial'"
"apps/web/src/app/(site)/accessibility/page.tsx","import styles from './page.module.css'"
"apps/web/src/app/(site)/cartoon/[id]/page.tsx","import { CartoonDetailPageApp, generateCartoonDetailMetadata } from '@/lib/cartoonDetailRoute'"
"apps/web/src/app/(site)/cartoon/[id]/page.tsx","import styles from './page.module.css'"
"apps/web/src/app/(site)/cartoons/page.tsx","import type { Metadata } from 'next'"
"apps/web/src/app/(site)/cartoons/page.tsx","import { MosaicHeroLcpPreload } from '@/components/MosaicHeroLcpPreload'"
"apps/web/src/app/(site)/cartoons/page.tsx","import { MoviesDiscoverPage } from '@/components/MoviesDiscoverPage/MoviesDiscoverPage'"
"apps/web/src/app/(site)/cartoons/page.tsx","import {"
"apps/web/src/app/(site)/cartoons/page.tsx","import { buildCollectionPageStructuredData } from '@/lib/jsonLdSite'"
"apps/web/src/app/(site)/cartoons/page.tsx","import { buildDiscoverHubSnippetTemplate } from '@/lib/seoSnippetTemplates'"
"apps/web/src/app/(site)/cartoons/page.tsx","import { discoverPageAlternates, discoverSocialMeta } from '@/lib/seoSocial'"
"apps/web/src/app/(site)/cartoons/page.tsx","import {"
"apps/web/src/app/(site)/cartoons/page.tsx","import styles from './page.module.css'"
"apps/web/src/app/(site)/categories/page.tsx","import type { Metadata } from 'next'"
"apps/web/src/app/(site)/categories/page.tsx","import { permanentRedirect } from 'next/navigation'"
"apps/web/src/app/(site)/categories/page.tsx","import { WebPageJsonLd } from '@/components/WebPageJsonLd/WebPageJsonLd'"
"apps/web/src/app/(site)/categories/page.tsx","import { discoverPageAlternates, discoverSocialMeta } from '@/lib/seoSocial'"
"apps/web/src/app/(site)/contact/page.tsx","import type { Metadata } from 'next'"
"apps/web/src/app/(site)/contact/page.tsx","import Link from 'next/link'"
"apps/web/src/app/(site)/contact/page.tsx","import { LegalDocument, LegalNote } from '@/components/LegalDocument/LegalDocument'"
"apps/web/src/app/(site)/contact/page.tsx","import { WebPageJsonLd } from '@/components/WebPageJsonLd/WebPageJsonLd'"
"apps/web/src/app/(site)/contact/page.tsx","import { discoverPageAlternates, discoverSocialMeta } from '@/lib/seoSocial'"
"apps/web/src/app/(site)/contact/page.tsx","import styles from './page.module.css'"
"apps/web/src/app/(site)/cookies/page.tsx","import type { Metadata } from 'next'"
"apps/web/src/app/(site)/cookies/page.tsx","import Link from 'next/link'"
"apps/web/src/app/(site)/cookies/page.tsx","import { LegalDocument, LegalNote } from '@/components/LegalDocument/LegalDocument'"
"apps/web/src/app/(site)/cookies/page.tsx","import { WebPageJsonLd } from '@/components/WebPageJsonLd/WebPageJsonLd'"
"apps/web/src/app/(site)/cookies/page.tsx","import { discoverPageAlternates, discoverSocialMeta } from '@/lib/seoSocial'"
"apps/web/src/app/(site)/cookies/page.tsx","import styles from './page.module.css'"
"apps/web/src/app/(site)/dmca/page.tsx","import type { Metadata } from 'next'"
"apps/web/src/app/(site)/dmca/page.tsx","import Link from 'next/link'"
"apps/web/src/app/(site)/dmca/page.tsx","import { LegalDocument, LegalNote } from '@/components/LegalDocument/LegalDocument'"
"apps/web/src/app/(site)/dmca/page.tsx","import { WebPageJsonLd } from '@/components/WebPageJsonLd/WebPageJsonLd'"
"apps/web/src/app/(site)/dmca/page.tsx","import { discoverPageAlternates, discoverSocialMeta } from '@/lib/seoSocial'"
"apps/web/src/app/(site)/dmca/page.tsx","import styles from './page.module.css'"
"apps/web/src/app/(site)/entity/[slug]/page.tsx","import type { Metadata } from 'next'"
"apps/web/src/app/(site)/entity/[slug]/page.tsx","import Link from 'next/link'"
"apps/web/src/app/(site)/entity/[slug]/page.tsx","import { notFound } from 'next/navigation'"
"apps/web/src/app/(site)/entity/[slug]/page.tsx","import { SearchPageClient } from '@/components/SearchPage/SearchPageClient'"
"apps/web/src/app/(site)/entity/[slug]/page.tsx","import { WebPageJsonLd } from '@/components/WebPageJsonLd/WebPageJsonLd'"
"apps/web/src/app/(site)/entity/[slug]/page.tsx","import { entityCanonicalSlug, entityQueryFromSlug } from '@/lib/entitySearch'"
"apps/web/src/app/(site)/entity/[slug]/page.tsx","import { buildEntitySnippetTemplate } from '@/lib/seoSnippetTemplates'"
"apps/web/src/app/(site)/entity/[slug]/page.tsx","import { discoverPageAlternates, discoverSocialMeta } from '@/lib/seoSocial'"
"apps/web/src/app/(site)/entity/[slug]/page.tsx","import styles from './page.module.css'"
"apps/web/src/app/(site)/gdpr/page.tsx","import type { Metadata } from 'next'"
"apps/web/src/app/(site)/gdpr/page.tsx","import Link from 'next/link'"
"apps/web/src/app/(site)/gdpr/page.tsx","import { LegalDocument, LegalNote } from '@/components/LegalDocument/LegalDocument'"
"apps/web/src/app/(site)/gdpr/page.tsx","import { WebPageJsonLd } from '@/components/WebPageJsonLd/WebPageJsonLd'"
"apps/web/src/app/(site)/gdpr/page.tsx","import { discoverPageAlternates, discoverSocialMeta } from '@/lib/seoSocial'"
"apps/web/src/app/(site)/gdpr/page.tsx","import styles from './page.module.css'"
"apps/web/src/app/(site)/help/page.tsx","import type { Metadata } from 'next'"
"apps/web/src/app/(site)/help/page.tsx","import Link from 'next/link'"
"apps/web/src/app/(site)/help/page.tsx","import { LegalDocument, LegalNote } from '@/components/LegalDocument/LegalDocument'"
"apps/web/src/app/(site)/help/page.tsx","import { WebPageJsonLd } from '@/components/WebPageJsonLd/WebPageJsonLd'"
"apps/web/src/app/(site)/help/page.tsx","import { discoverPageAlternates, discoverSocialMeta } from '@/lib/seoSocial'"
"apps/web/src/app/(site)/help/page.tsx","import styles from './page.module.css'"
"apps/web/src/app/(site)/layout.tsx","import type { ReactNode } from 'react'"
"apps/web/src/app/(site)/layout.tsx","import { SiteShell } from '@/app/_shells/SiteShell'"
"apps/web/src/app/(site)/login/page.tsx","import type { Metadata } from 'next'"
"apps/web/src/app/(site)/login/page.tsx","import { LoginForm } from '@/components/LoginForm/LoginForm'"
"apps/web/src/app/(site)/login/page.tsx","import { WebPageJsonLd } from '@/components/WebPageJsonLd/WebPageJsonLd'"
"apps/web/src/app/(site)/login/page.tsx","import { discoverPageAlternates, discoverSocialMeta } from '@/lib/seoSocial'"
"apps/web/src/app/(site)/movies/category/[genre]/about/error.tsx","import hubStyles from '../hub.module.css'"
"apps/web/src/app/(site)/movies/category/[genre]/about/loading.tsx","import hubStyles from '../hub.module.css'"
"apps/web/src/app/(site)/movies/category/[genre]/about/page.tsx","import type { Metadata } from 'next'"
"apps/web/src/app/(site)/movies/category/[genre]/about/page.tsx","import Link from 'next/link'"
"apps/web/src/app/(site)/movies/category/[genre]/about/page.tsx","import { notFound } from 'next/navigation'"
"apps/web/src/app/(site)/movies/category/[genre]/about/page.tsx","import { buildEntitySearchHref } from '@/lib/entitySearch'"
"apps/web/src/app/(site)/movies/category/[genre]/about/page.tsx","import { buildCollectionPageStructuredData } from '@/lib/jsonLdSite'"
"apps/web/src/app/(site)/movies/category/[genre]/about/page.tsx","import { getMovieGenreHubContent } from '@/lib/movieGenreHubContent'"
"apps/web/src/app/(site)/movies/category/[genre]/about/page.tsx","import { movieGenreIdToSlug, movieGenreSlugToId } from '@/lib/movieGenreRoute'"
"apps/web/src/app/(site)/movies/category/[genre]/about/page.tsx","import { discoverPageAlternates, discoverSocialMeta } from '@/lib/seoSocial'"
"apps/web/src/app/(site)/movies/category/[genre]/about/page.tsx","import { detailPathForShelfItem } from '@/lib/slug'"
"apps/web/src/app/(site)/movies/category/[genre]/about/page.tsx","import {"
"apps/web/src/app/(site)/movies/category/[genre]/about/page.tsx","import hubStyles from '../hub.module.css'"
"apps/web/src/app/(site)/movies/category/[genre]/page.tsx","import type { Metadata } from 'next'"
"apps/web/src/app/(site)/movies/category/[genre]/page.tsx","import Link from 'next/link'"
"apps/web/src/app/(site)/movies/category/[genre]/page.tsx","import { notFound } from 'next/navigation'"
"apps/web/src/app/(site)/movies/category/[genre]/page.tsx","import { MosaicHeroLcpPreload } from '@/components/MosaicHeroLcpPreload'"
"apps/web/src/app/(site)/movies/category/[genre]/page.tsx","import { MoviesDiscoverPage } from '@/components/MoviesDiscoverPage/MoviesDiscoverPage'"
"apps/web/src/app/(site)/movies/category/[genre]/page.tsx","import { buildCollectionPageStructuredData } from '@/lib/jsonLdSite'"
"apps/web/src/app/(site)/movies/category/[genre]/page.tsx","import { getMovieGenreHubContent } from '@/lib/movieGenreHubContent'"
"apps/web/src/app/(site)/movies/category/[genre]/page.tsx","import { movieGenreSlugToId } from '@/lib/movieGenreRoute'"
"apps/web/src/app/(site)/movies/category/[genre]/page.tsx","import {"
"apps/web/src/app/(site)/movies/category/[genre]/page.tsx","import { buildGenreHubSnippetTemplate } from '@/lib/seoSnippetTemplates'"
"apps/web/src/app/(site)/movies/category/[genre]/page.tsx","import { discoverPageAlternates, discoverSocialMeta } from '@/lib/seoSocial'"
"apps/web/src/app/(site)/movies/category/[genre]/page.tsx","import {"
"apps/web/src/app/(site)/movies/category/[genre]/page.tsx","import hubStyles from './hub.module.css'"
"apps/web/src/app/(site)/movies/loading.tsx","import styles from './loading.module.css'"
"apps/web/src/app/(site)/movies/page.tsx","import type { Metadata } from 'next'"
"apps/web/src/app/(site)/movies/page.tsx","import { redirect } from 'next/navigation'"
"apps/web/src/app/(site)/movies/page.tsx","import { MosaicHeroLcpPreload } from '@/components/MosaicHeroLcpPreload'"
"apps/web/src/app/(site)/movies/page.tsx","import { MoviesDiscoverPage } from '@/components/MoviesDiscoverPage/MoviesDiscoverPage'"
"apps/web/src/app/(site)/movies/page.tsx","import { buildCollectionPageStructuredData } from '@/lib/jsonLdSite'"
"apps/web/src/app/(site)/movies/page.tsx","import { movieGenrePathById } from '@/lib/movieGenreRoute'"
"apps/web/src/app/(site)/movies/page.tsx","import {"
"apps/web/src/app/(site)/movies/page.tsx","import { buildDiscoverHubSnippetTemplate } from '@/lib/seoSnippetTemplates'"
"apps/web/src/app/(site)/movies/page.tsx","import { discoverPageAlternates, discoverSocialMeta } from '@/lib/seoSocial'"
"apps/web/src/app/(site)/movies/page.tsx","import {"
"apps/web/src/app/(site)/movies/page.tsx","import styles from './page.module.css'"
"apps/web/src/app/(site)/movies/random/page.tsx","import type { Metadata } from 'next'"
"apps/web/src/app/(site)/movies/random/page.tsx","import { RandomMoviePage } from '@/components/RandomMoviePage/RandomMoviePage'"
"apps/web/src/app/(site)/movies/random/page.tsx","import { WebPageJsonLd } from '@/components/WebPageJsonLd/WebPageJsonLd'"
"apps/web/src/app/(site)/movies/random/page.tsx","import { discoverPageAlternates, discoverSocialMeta } from '@/lib/seoSocial'"
"apps/web/src/app/(site)/movies/random/page.tsx","import { getMovieGenresList } from '@/lib/tmdb'"
"apps/web/src/app/(site)/notifications/page.tsx","import type { Metadata } from 'next'"
"apps/web/src/app/(site)/notifications/page.tsx","import { WebPageJsonLd } from '@/components/WebPageJsonLd/WebPageJsonLd'"
"apps/web/src/app/(site)/notifications/page.tsx","import { discoverPageAlternates, discoverSocialMeta } from '@/lib/seoSocial'"
"apps/web/src/app/(site)/notifications/page.tsx","import styles from './page.module.css'"
"apps/web/src/app/(site)/page.tsx","import type { Metadata } from 'next'"
"apps/web/src/app/(site)/page.tsx","import { Suspense } from 'react'"
"apps/web/src/app/(site)/page.tsx","import { HeroSection } from '@/components/HeroSection/HeroSection'"
"apps/web/src/app/(site)/page.tsx","import { HomeDiscoverShelves } from '@/components/HomeDiscoverShelves/HomeDiscoverShelves'"
"apps/web/src/app/(site)/page.tsx","import { HomeShelvesFallback } from '@/components/HomeDiscoverShelves/HomeShelvesFallback'"
"apps/web/src/app/(site)/page.tsx","import { HomeLcpPreloadLinks } from '@/components/HomeLcpPreloadLinks'"
